Page Name,URL Slug,Page Type,Target Keyword,H1,Meta Title,Meta Description,Status,Notes
Elevadores Residenciais Compactos,/elevadores-residenciais/compactos,Product Sub-type,elevador residencial compacto,Elevador Residencial Compacto: Quando o Espaço é Limitado,Elevador Residencial Compacto | Modelos e Preços | Vida Acessível,"Elevadores domésticos compactos para casas com pouco espaço. Compare modelos, dimensões mínimas e peça orçamentos gratuitos de instaladores em Portugal.",New,Cross-link to /dimensoes-minimas article
Elevadores Hidráulicos Residenciais,/elevadores-residenciais/hidraulicos,Product Sub-type,elevador hidráulico residencial,Elevador Hidráulico para Casa: Suave Silencioso e Fiável,Elevador Hidráulico Residencial | Como Funciona e Preços | Vida Acessível,"O elevador hidráulico residencial é o mais popular em Portugal. Saiba como funciona, vantagens e desvantagens, e receba orçamentos de instaladores certificados.",New,Compare with pneumático and tração
Elevadores Pneumáticos Residenciais,/elevadores-residenciais/pneumaticos,Product Sub-type,elevador pneumático residencial,Elevador Pneumático: A Alternativa Moderna e Eficiente,Elevador Pneumático Residencial | Como Funciona e Preços | Vida Acessível,"O elevador pneumático não precisa de cabos ou pistão. Descubra como funciona, vantagens e custos, e compare com outros tipos de elevadores domésticos.",New,Highlight eco-friendly and compact advantages
Plataformas Elevatórias Escadas Retas,/plataformas-elevatorias/escadas-retas,Product Sub-type,plataforma elevatória escadas retas,Plataforma Elevatória para Escadas Retas: A Opção Mais Acessível,Plataforma Elevatória Escadas Retas | Preços e Orçamentos | Vida Acessível,"Plataforma elevatória para escadas retas: instalação rápida e preço competitivo. Ideal para cadeira de rodas. Receba orçamentos gratuitos de instaladores em Portugal.",New,Cheapest platform option — highlight affordability
Plataformas Elevatórias Escadas Curvas,/plataformas-elevatorias/escadas-curvas,Product Sub-type,plataforma elevatória escadas curvas,Plataforma Elevatória para Escadas Curvas: Personalizada para a Sua Escada,Plataforma Elevatória Escadas Curvas | Orçamentos | Vida Acessível,"Plataformas elevatórias para escadas curvas e em L. Calhas adaptadas à sua escada. Compare propostas de instaladores certificados em Portugal.",New,Emphasise custom nature and need for on-site visit
Plataformas Elevatórias Exteriores,/plataformas-elevatorias/exteriores,Product Sub-type,plataforma elevatória exterior,Plataforma Elevatória para Exterior: Resistência em Qualquer Clima,Plataforma Elevatória Exterior | Modelos e Preços | Vida Acessível,"Plataformas elevatórias para escadas exteriores: robustez e segurança reforçada. Ideal para entradas de edifícios e moradias. Orçamentos gratuitos em Portugal.",New,Highlight weather resistance and lock key feature
Soluções para Subir Escadas,/solucoes-para-subir-escadas/,Audience/Solution,soluções para subir escadas,Tem Dificuldade em Subir Escadas? Existe uma Solução para Si,Soluções para Subir Escadas | Compare Equipamentos | Vida Acessível,"Dificuldade em subir escadas? Compare elevadores de escadas, plataformas elevatórias e elevadores residenciais. Encontre a solução certa para o seu caso.",Existing,Cross-links all 3 product hubs — decision/comparison page
Cadeiras Elevatórias para Idosos,/cadeiras-elevatorias-para-idosos/,Audience/Solution,cadeiras elevatórias para idosos,Cadeiras Elevatórias para Idosos: Autonomia e Segurança em Casa,Cadeiras Elevatórias para Idosos | Guia e Orçamentos | Vida Acessível,"Cadeiras elevatórias para idosos: mantenha a autonomia em casa de forma segura. Saiba como funciona, quanto custa e compare propostas de instaladores em Portugal.",Existing,Emotional framing — focus on independence and family peace of mind
Soluções para Cadeiras de Rodas,/solucoes-para-cadeiras-de-rodas/,Audience/Solution,soluções para cadeiras de rodas,Soluções de Acessibilidade para Cadeiras de Rodas em Casa,Soluções para Cadeiras de Rodas | Plataformas e Elevadores | Vida Acessível,"Procura soluções de acessibilidade para cadeira de rodas? Compare plataformas elevatórias e elevadores residenciais adaptados. Orçamentos gratuitos em Portugal.",Existing,Links to plataformas hub and residenciais hub
Adaptar Casa Mobilidade Reduzida,/adaptar-casa-mobilidade-reduzida/,Audience/Solution,adaptar casa mobilidade reduzida,Como Adaptar a Sua Casa para Mobilidade Reduzida,Adaptar Casa para Mobilidade Reduzida | Guia Completo | Vida Acessível,"Guia completo para adaptar a sua casa a pessoas com mobilidade reduzida. Equipamentos de acessibilidade, apoios do Estado e orçamentos gratuitos em Portugal.",New,Broader page — links to all products + SAPA + IVA 6% content
Acessibilidade em Condomínios,/acessibilidade-condominios/,Audience/Solution,plataforma elevatória condomínio,Acessibilidade em Condomínios: Como Instalar uma Plataforma Elevatória,Plataforma Elevatória para Condomínio | Guia e Orçamentos | Vida Acessível,"Como melhorar a acessibilidade no seu condomínio. Tudo sobre plataformas elevatórias para áreas comuns: aprovação, legislação e orçamentos de instaladores.",New,Decision-maker is building manager or residents' committee — different tone
Preços Elevadores de Escadas,/equipamentos/elevadores-de-escadas/preco/,Price,elevadores de escadas preço,Quanto Custa um Elevador de Escadas? Preços em Portugal 2025,Elevadores de Escadas: Preços em Portugal 2025 | Vida Acessível,"Preços dos elevadores de escadas em Portugal: de €2.000 a €8.000+. Veja o que influencia o custo e compare orçamentos gratuitos de instaladores certificados.",New,Nested under hub — clean URL; high-intent keyword
Preços Elevadores Residenciais,/equipamentos/elevadores/preco/,Price,elevadores residenciais preço,Quanto Custa um Elevador Residencial? Preços em Portugal 2025,Elevadores Residenciais: Preços em Portugal 2025 | Vida Acessível,"Preços dos elevadores residenciais em Portugal: de €8.000 a €25.000+. Compare tipos e modelos e receba até 3 orçamentos gratuitos de instaladores certificados.",New (migrate + redirect from old URL),Redirect /precos-dos-elevadores-residenciais/ → new URL
Preços Plataformas Elevatórias,/equipamentos/plataformas-elevatorias/preco/,Price,plataformas elevatórias preço,Quanto Custa uma Plataforma Elevatória? Preços em Portugal 2025,Plataformas Elevatórias: Preços em Portugal 2025 | Vida Acessível,"Preços das plataformas elevatórias em Portugal: de €4.000 a €12.000+. Veja o que influencia o custo e compare orçamentos gratuitos de instaladores certificados.",New (migrate + redirect from old URL),Redirect /plataformas-elevatorias-preco/ → new URL
Pedir Orçamento,/pedir-orcamento/,Conversion,pedir orçamento elevador,Receba até 3 Orçamentos Gratuitos para o Seu Equipamento,Pedir Orçamento Gratuito | Elevadores e Plataformas | Vida Acessível,"Peça orçamentos gratuitos para elevadores de escadas, elevadores residenciais ou plataformas elevatórias. Receba até 3 propostas de instaladores certificados.",Existing,Primary conversion page — needs redesign with clear form and trust signals
Catálogo Grátis,/catalogo-gratis/,Conversion,catálogo elevadores acessibilidade,Peça o Seu Catálogo Gratuito de Equipamentos de Acessibilidade,Catálogo Grátis | Elevadores de Escadas e Plataformas | Vida Acessível,"Receba gratuitamente um catálogo completo com soluções de acessibilidade: elevadores de escadas, residenciais e plataformas elevatórias. Sem compromisso.",Existing,Secondary conversion — capture users in research phase
Blog / Recursos,/recursos/,Blog Index,recursos acessibilidade mobilidade,Guias e Recursos sobre Acessibilidade e Mobilidade em Casa,Recursos e Guias de Acessibilidade | Vida Acessível,"Artigos práticos sobre acessibilidade em casa: elevadores de escadas, plataformas, apoios do Estado e muito mais. Informação clara para tomar as melhores decisões.",Existing,Index page needs redesign with categories and featured posts
Sobre Nós,/sobre/,About,vida acessível sobre nós,Por uma Vida Mais Acessível em Portugal,Sobre Nós | Vida Acessível — Guia Independente de Acessibilidade,Vida Acessível é um guia independente de acessibilidade em Portugal. Ligamos pessoas a instaladores certificados e tornamos o processo de escolha mais simples.,Existing,Add more trust signals and partner section
Contacto,/contacto/,Contact,contacto vida acessível,Fale Connosco — Estamos Aqui para Ajudar,Contacto | Vida Acessível — Soluções de Acessibilidade em Portugal,Tem dúvidas sobre elevadores de escadas ou plataformas elevatórias? Entre em contacto connosco. Respondemos a todos os pedidos.,Existing,Simple page — keep clean
Política de Privacidade,/politica-de-privacidade/,Legal,,,Política de Privacidade | Vida Acessível,,Existing,Legal requirement
Blog Index,/recursos/,Blog Index,recursos acessibilidade mobilidade,Guias e Recursos sobre Acessibilidade e Mobilidade em Casa,Recursos e Guias de Acessibilidade | Vida Acessível,"Artigos práticos sobre elevadores de escadas, plataformas elevatórias e acessibilidade em casa. Informação clara para tomar as melhores decisões em Portugal.",Existing — redesign,CMS-driven; filterable by category; cards with image + excerpt
Guia de Compra Elevadores de Escadas,/recursos/guia-de-compra-elevadores-de-escadas,Blog Article,guia de compra elevadores de escadas,Guia de Compra de Elevadores de Escadas: Tudo o Que Precisa de Saber,Guia de Compra: Elevadores de Escadas em Portugal | Vida Acessível,"Guia completo para comprar um elevador de escadas: tipos, preços, instalação e apoios do Estado. Leia antes de pedir orçamentos.",Existing — migrate to CMS,Redirect /guia-de-compra-de-elevadores-de-escadas/ → new slug
Segurança dos Elevadores de Escadas,/recursos/seguranca-elevadores-de-escadas,Blog Article,segurança elevadores de escadas,As Principais Características de Segurança dos Elevadores de Escadas,Segurança nos Elevadores de Escadas | Vida Acessível,"Saiba quais as características de segurança que um elevador de escadas deve ter. Sensores, travões, bateria de emergência e mais.",Existing — migrate to CMS,Redirect old URL → new slug
Apoios para Equipamentos de Mobilidade,/recursos/apoios-aquisicao-equipamentos-mobilidade,Blog Article,apoios compra equipamentos mobilidade,Apoios para a Aquisição de Equipamentos de Mobilidade em Portugal,Apoios Financeiros para Equipamentos de Mobilidade | Vida Acessível,"Conheça os apoios disponíveis para comprar elevadores de escadas ou plataformas elevatórias: SAPA, IVA 6%, financiamento e mais.",Existing — migrate to CMS,High-value page — drives quote requests from budget-conscious users
Como Funciona um Elevador de Escadas,/recursos/como-funciona-elevador-de-escadas,Blog Article,como funciona elevador de escadas,Como Funciona um Elevador de Escadas?,Como Funciona um Elevador de Escadas | Vida Acessível,"Explicação simples e clara de como funciona um elevador de escadas: componentes, calha, motor, controlo e bateria de emergência.",Existing — migrate to CMS,Good top-of-funnel content — link to product hub
Plataforma Elevatória em Condomínio,/recursos/plataforma-elevatoria-condominio,Blog Article,plataforma elevatória condomínio,Como Instalar uma Plataforma Elevatória num Condomínio,Plataforma Elevatória para Condomínio | Guia Completo | Vida Acessível,"Tudo sobre a instalação de plataformas elevatórias em condomínios: aprovação, legislação, custos e instaladores certificados.",Existing — migrate to CMS,Links to /acessibilidade-condominios/ solution page
Elevador de Escadas Usado ou Novo,/recursos/elevador-de-escadas-usado-ou-novo,Blog Article,elevador de escadas usado,Comprar um Elevador de Escadas Usado: Vale a Pena?,Elevador de Escadas Usado ou Novo? | Vida Acessível,"Analisar as vantagens e riscos de comprar um elevador de escadas em segunda mão. O que verificar antes de decidir.",Existing — migrate to CMS,Good for SEO — people search this actively
Dimensões Mínimas para Elevador,/recursos/dimensoes-minimas-elevador,Blog Article,dimensões mínimas elevador,Dimensões Mínimas para Instalar um Elevador em Casa,Dimensões Mínimas para Instalar um Elevador | Vida Acessível,"Saiba o espaço mínimo necessário para instalar um elevador residencial ou de escadas: largura, altura e profundidade.",Existing — migrate to CMS,Links to /elevadores-residenciais/compactos and /elevadores-de-escadas/escadas-estreitas
Adaptar Casa para Pessoa com Deficiência,/recursos/adaptar-casa-para-pessoa-com-deficiencia,Blog Article,adaptar casa deficiente,Como Adaptar a Sua Casa para uma Pessoa com Deficiência,Adaptar Casa para Pessoa com Deficiência | Guia Prático | Vida Acessível,"Guia prático para adaptar uma casa a uma pessoa com deficiência motora: equipamentos, obras, apoios financeiros e onde pedir ajuda.",Existing — migrate to CMS,Links to /adaptar-casa-mobilidade-reduzida/ solution page
